Sl,Code,Prof Name,Prof,Co-supervisor,Topic / Title of Seminar-cum-BTP,Domain / Area,No. of Students,"Brief Description (For no description, contact the professor)",
17,PPD1,Partha Pratim Das,PPD,,Intelligent Googling based on the Program Semantic Graph: Metadata (Document Generators) Analysis using NLP techniques and Deep Neural Networks,"NLP, Deep learning, Program Metadata",1,"According to the latest surveys, there has been a significant increase in maintenance cost; up to 80% to 90% of the total software life cost in the last three decades. Detailed surveys from IBM, Gartner and Forrester, indicates that 70 % of the increase in cost is due to program comprehension efforts of legacy due to low document quality and dilapidated designs.

To aid in program comprehension of legacy codebases with sparse documentation, we plan to build a knowledge graph for a program, based on which we will develop a query engine, using which the users can query (google) and learn the program behaviour and structure.

This project is based on Metadata Analysis of a program to infer various concepts like algorithm implementation, constraints, data-structures and operations, memory, which would contribute to a considerable portion of the knowledge graph.

The aim of this project is to extract and analyse the metadata of a program that the output of the various document generators like Doxygen, and learn the various program concepts. The various extraction methodologies like source code instrumentation, source code parsing needs to be employed. For analysis of the extracted information, various NLP techniques needs to be used like POS tagging, Similarity Functions, Ngram Matching, bag-of-words, continuous bag-of-words and skipgram (for wordtovec) and like the same. Using some of  analysed results, we plan to implement a recurrent neural network alongside, for learning few of the concepts and then finally  integrate the concepts learnt from NLP and supervised learning into a knowledge graph. A mathematical model also needs to be developed for the analysis and inference process to formulate a generic solution. ",
,PPD2,Partha Pratim Das,,,Intelligent Googling based on the Program Semantic Graph: Inference of Design Patterns and Algorithmic Patterns using Deep and Recurrent Neural Networks,"Deep learning, Static Instrumentation, Dynamic Instrumentation",1,"According to the latest surveys, there has been a significant increase in maintenance cost; up to 80% to 90% of the total software life cost in the last three decades. Detailed surveys from IBM, Gartner and Forrester, indicates that 70 % of the increase in cost is due to program comprehension efforts of legacy due to low document quality and dilapidated designs.

To aid in program comprehension of legacy codebases with sparse documentation, we plan to build a knowledge graph for a program, based on which we will develop a query engine, using which the users can query (google) and learn the program behaviour and structure.

This project is based on inferring design and algorithmic patterns from an application using deep neural networks, which would contribute to the knowledge graph.

To infer the patterns, our aim is to first extract the program syntax and dynamic behavior using source code and dynamic instrumentation frameworks and then infer and learn various design and algorithmic patterns using recurrent and deep neural network. Also to maintain the state information at every step of learning, we need to use LSTM cells and at the end compare the accuracy from all the methods.",
,PPD3,Partha Pratim Das,,,Framework for measuring program comprehension from Code Reading Patterns using Eye-Gaze Tracker,"Deep learning, Computer Vision, Software Engineering",1,"Improving productivity is a continual need in Software Engineering and depends on the efficiency of developers, quality of code and various other factors including the choice of language. Quantitative estimation of productivity is a challenge that needs to be addressed efficiently. To improve productivity, the persons' ability to comprehend the program has to improve. This lead to building Program comprehension tools. In this project, we intend first to estimate the Program Comprehension for the developers' and thus track the Code Reading Patterns by a developer using an Eye-Gaze Tracker sensor. Based on the sequence of gaze patterns and analysis of the source code we can map the order as well as effort spent by the developers in understanding an unknown code written in C. To understand the comprehending process, knowledge representation of C languages should be made with the help of an Ontology. Based on the Gaze patterns, hierarchical representation of the code and Ontology of C, we intend to build a deep learning model for productivity and quality estimates. ",
,PPD4,Partha Pratim Das,,,Recognition and annotation of the trajectories involved in a dance performance using Machine learning ,"Computer Vision, Machine Learning",1,"While performing a dance we do follow several postures. In between those postures several motions/trajectories do occur. Our objective is to identify the varieties of trajectories/motions between postures. It involves Characterization, Modelling of Transition Postures and Recognition of Trajectory.",
,PPD5,Partha Pratim Das,,,Build 3D Perspective from HD multi-views using Computer vision and Machine learning,"Computer Vision, Machine Learning",2,"Using 5 dimensional HD (High Definition) Multi-view recording (corresponding to NE, SE, SW, NW, and Top) of a dance performance, it is a challenge to reconstruct the 3D perspective and 3D human models with motions in 3D. ",
18,PSD1,Partha Sarathi Dey,PSD,,Design of a Hierarchical Data Base for Client Server Architecture,Distributed Data Base,2,The task involves framing of  Multiple Distinct Client Data Bases which will store Data that Includes Bio Metric Data at the respective client ends with Limited Transaction Accesses  at the respective client end only for each of the Local Customers. The Data at each client will be replicated at a Central Server with only View Option and no transaction access. All remote accesses of any customer data needs to be routed  to the respective client via the Central Server only. Adequate Security is to be provided especially at the Client end only.,
,PSD2,Partha Sarathi Dey,,,Parttioning of  Program Code into Threads,Algorithms for System Software & Architecture ,4,"The Task involves Extraction of independent Schedulable Entities from Program code at each level to facilitate effective usage of Multi Core Processors. This partitions  needs to be done at various levels using dedicated libraries like Open MP / Intel TBB for Partitioning High Level Source Code, Modifying Compilers for static partitioning of Target Assembly Code. Dynamic Partitioning of executables based  on avalable number of cores. It also involves a comparative study with  corresponding Parallel programming",
,PSD3,Partha Sarathi Dey,,,Using Geographic Information System [GIS] for e-governance,"GIS, Information System, Data Mining",2,Design a Framework that will ADAPT currently used Tools & Open Source Software d to support GIS Datas which may be used to track & record various points needed for effective e-Governance. This task involves extensive field work in order to get the test data.,
,PSD4,Partha Sarathi Dey,,,Content Based Multi Media Information System,"Multi Media, Client Server based Information System.",2,"The task involves creating a Multi Media Information system that can store in cloud / local media Audio Clips, Video Clips, Picture as well as Text each of which can be accessed via it's Content Based Keywords like Voice of Person in Year B given at Place C for the Occasion D / Goal Scored by Player D in the match against Opponent E in the Year F for the Tournament G etc. This tagging is more elaborate and exclusive as compared to popular Video Sites and one needs to provide this tagging facility too.",
19,PG1,Pawan Goyal,PG,,A Deep Energy Based Model Framework for Structured Prediction Tasks in Sanskrit,"NLP, Deep Learning",1,"The projects aims at developing a deep energy based model framework for structured prediction tasks in free word order languages. The input is treated as a graph with embeddings created for edges. The first part involves construction of a edge embeddings via meta-paths. The meta-paths will be obtained from a corpus represented as a Heterogenous Information Network (HIN). The second part of the project involves searching for suitable structures in the input graph for various designated tasks. For example, Dependency parsing can be seen as search for a Steiner Tree, word ordering can be seen as finding a path or pairwise ordering of edges (or nodes), Word segmentation as finding a maximal clique and so on. The task involved turns out to be challenging considering the fact that, due to constraints in labelled data for supervised tasks, often distant supervision tasks need to be employed.",
,PG2,Pawan Goyal,,,Program Synthesis as Learning  Rational Transductions,NLP,1,"There are many cases where the function one wants to learn doesn’t just associate with a given string a label or a probability, but should be able to return another string, perhaps even written using another alphabet. This is the case of translation, of course, between two ‘natural’ languages, but also of situations where the syntax of a text is used to extract some semantics. We intend to use Transduction learning for Morphological inflection and Morphological re-inflection tasks. The framework is language agnostic and the transducer so learnt will be converted to a program by denotation using a suitable Domain specific Language. We aim to explore various approaches to the task including Neural Graph Learning.",
,PG3,Pawan Goyal,,,Distributional Thesaurus Embedding for Hypernymy Detection and Directionality,NLP,1,"While many embedding methods have been developed for detecting synonyms, there is still scope in detecting hypernyms, hyponyms using embedding methods. This project aims to learn hierarchical embeddings that (i) discriminate hypernymy from other relations (detection task), and (ii) distinguish between the hypernym and the hyponym in a given hypernymy relation pair (directionality task). For this purpose, we plan to use the network embeddings  on Distributional Thesaurus Network.",
,PG4,Pawan Goyal,,,Deep Learning for product knowledge graph construction from user reviews,"NLP, Deep Learning",1,"Product knowledge graph can be thought of as collection of attributes of a product as well as relation between two products. Once this knowledge graph is constructed, it can be utilised to enhance product retrieval as well as customer suggestion. This project aims at constructing this knowledge graph automatically by mining the information available in user reviews. Deep Learning approaches will be applied over the review text to mine this information. We also plan to do a comparative study across geographical locations.",
,PG5,Pawan Goyal,,,Misleading Metadata Detection on Youtube,NLP,1,"YouTube is the leading social media platform for sharing videos. As a result, it is plagued with spam campaigns that includes spreading malicious links through video description or comments, disseminate adult or illegal content and generate artificial traffic through click baits. In this project, we aim at tackling the problem of detecting misleading videos -- those having description and title unrelated to the posted content. ",
20,PrM1,Pralay Mitra,PrM,,GPU implementation of Ordinary Differential Equation (ODE) ,Programming,1,GPU implementation of Ordinary Differential Equation (ODE) ,
,PrM2,Pralay Mitra,,,GPU implementation of  Partial Differential Equation (PDE),Programming,1,GPU implementation of  Partial Differential Equation (PDE),
,PrM3,Pralay Mitra,,,Parallel implementation of Replica-Exchange Monte Carlo (REMC) and Simulated Annealing (SA),Programming,1,Parallel implementation of Replica-Exchange Monte Carlo (REMC) and Simulated Annealing (SA),
21,RSC1,Rajat Subhra Chakraborty,RSC,,Digital Image Forensics,Machine Learning and Image Processing ,2,"This work will apply machine learning techniques, including deep learning, to detect whether or which portions of digital images have been morphed.",
,RSC2,Rajat Subhra Chakraborty,,,Machine Learning based Network Intrusion Detection,Machine learning and computer networks,1,"This project would explore the application of machine learning to detect attacks on networks, through the analysis of network access patterns through captured packets.",
22,RM1,Rajib Mall,RM,,Fault Localization Using Machine Learning,"Program debugging, machine learning",1,Seed bugs in a program using a mutation tool. Observe the test cases that fail. Repeat many times through automatic execution. Train a neural net. Determine how effectively an unknown bug can be localized using the trained neural net.,
,RM2,Rajib Mall,,,Regression test selection using machine learning,"Regression testing, machine learning",1,Make changes to  a program using a mutation tool. Observe the test cases that fail. These test cases should be selected for regression testing.  Repeat many times through automatic execution. Train a neural net. Determine how effectively regression test cases can be selected using the trained neural net.,
23,RgM1,Rogers Mathew,RgM,,On cross-bisecting families of sets,Extremal combinatorics,1,It is a problem in the umbrella of 'intersecting families of sets' that fall under the broad area of extremal set theory.  This is a research project and the work is mainly theoretical.,
,RgM2,Rogers Mathew,,,On a variant of L-intersecting families of sets,Extremal combinatorics,1,It is a problem in the umbrella of 'intersecting families of sets' that fall under the broad area of extremal set theory.  This is a research project and the work is mainly theoretical.,
24,SC1,Sandip Chakraborty,SC,,Virtualizing the Network - Towards Next Generation Computer Networks Control,Computer Networks,1,"Virtualization of resources is a well established concept in the domain of operating systems. However, in this project, we'll look into the details of network virtualization, where the network components, like switches, routers, interfaces can be virtualized for a more sophisticated network resource control in a large scale network control and operations. This is a very upcoming concept, and the industry is expecting to replace the current network with virtualized network support. In this project, the students will get some in-depth knowledge of network virtualization by working on real hardwares, software and systems setup in the Systems and Mobile Research Lab of our department. For more details, you can read this article: https://blogs.vmware.com/networkvirtualization/2013/06/18.html/ . You can also contact myself or Mr. Sumitro Bhaumik (sumitros@gmail.com) at Systems and Mobile Research Lab. ",
,SC2,Sandip Chakraborty,,,Multimedia streaming over large scale networks - from cloud based computing to edge computing,Computer Networks + Machine Learning,1,"We are now living in the era of Internet of Things (IoT) - where billions of devices are interconnected together. Many a times, our objective is to stream multimedia contents over such IoT networks. For example, assume that you have many cameras in your smart home to monitor the activities, and your task is to forward the video data over a IoT network, process the data, and infer the activities in the room. If you transfer the complete video data, then it may incur a lot of traffic over the network. However, assume a scenario when no activities are going on. Then it is basically a wastage of resources if you transfer the data over the network. In this project, we will specifically ask the following questions: Can we make the network intelligent to understand the activities in and around the environment and act accordingly? Note that in this scenario, the processing needs to be at the edge, i.e. at the video capturing devices. So, the question comes, how can you make your IoT network intelligent for multimedia streaming? For more details, you may contact myself or Mr. Abhijit Mondal at Systems and Mobile Research Lab. ",
,SC3,Sandip Chakraborty,,,Environment Sensing from Smartphone Microphone Data,Ubiquitous/Pervasive Computing ,1,"Your smartphone can hear everything through its embedded microphone, right? So, can't we leverage this data to understand the environment around a person, and develop applications around that? For example, let us take an example where we want to understand whether the person is inside a movie theater or within a crowded market. In this project, we'll try to explore whether we can leverage smartphone's microphone to understand such context or environment. Audio signals, though is prone to noise, has arrived as a significant source of information. Various works ranging from single user detection to complex room occupancy detection has already been done and presented successfully. In most of the cases, a significant amount of audio preprocessing is done, and various techniques like FFT and filtering techniques come into play. Sophisticated features extracted using techniques like Mel-Frequency Cepstral Coefficients (MFCC) have also been used in many recent works.   The inclusion of various statistical models like Gaussian Mixture Models (GMMs) and Hidden Markov Models (HMMs) have further refined the outputs produced by these systems.
However, such process are not very robust for on-device implementation on a smartphone, or prone to noise for omnidirectional microphones, which are mostly present in modern day's smartphone. So, our objective would be to develop a robust low cost methodology to understand the context/environment from smartphone sound data. For more details, please contact myself or Mr. Soumyajit Chatterjee, at Systems and Mobile Research Lab. ",
,SC4,Sandip Chakraborty,,,Smart Transport: Monitoring and Managing Transport Assets Through IoT,IoT,1,"Public transport in suburban cities (covers 80% of the urban landscape) of developing regions suffer from lack of information in Google Transit, unpredictable travel times, chaotic schedules, absence of information board inside the vehicle, crowded or overcrowded public vehicles, bad and insufficient road infrastructure and so on. Consequently, passengers suffer from lack of information about the nature of transport as well as the estimated time to be taken to reach the desired destination. In this project, our approach would be to understand the transport behavior through various sensor data. However, this problem is challenging if you consider Indian roads - if a driver takes a sudden overtake, it may be because of another car pushing him from behind. You can see some of our previous related projects here: (1) UrbanEye: http://www.cnergres.iitkgp.ac.in/urbaneye/, (2) CorwdMap: http://www.cnergres.iitkgp.ac.in/crowdmap/ . For further details, you may contact myself or Mr. Rohit Verma at the CNeRG Lab of the department. ",
25,SrG1,Saptarshi Ghosh,SrG,,Deep Learning for automatic text summarization,"Information Retrieval, Machine Learning",2,"We will implement and compare several recent methods that apply Deep Learning / neural networks for automatic text summarization. We will then use these methods for summarizing different types of text, including social media text, legal documents, etc. We will also attempt to propose improved methods for summarization. 
Few references: (1) Neural Summarization by Extracting Sentences and Words, ACL 2016,  (2) Classify or Select: Neural Architectures for Extractive Document Summarization (https://arxiv.org/pdf/1611.04244.pdf)",
,SrG2,Saptarshi Ghosh,,,Training Deep Learning methods for Legal Information Retrieval,"Information Retrieval, Machine Learning",2,"Legal Information Retrieval is the field of applying Information Retrieval / Machine Learning methods on legal documents, e.g., court case judgements, statutes, legal journal articles. In this project, we will apply Deep Learning methods for Legal IR. We will crawl large amounts of legal documents from the Web, and then train Deep Learning models on the data for solving two problems: (i) prior case retrieval, (ii) developing an expert system for answering legal queries. Apart from experience with Deep Learning methods, knowledge of Web scraping is essential. 
References: Paper2vec: Combining Graph and Text Information for Scientific Paper Representation, ECIR 2017",
26,SSL1,Shamik Sural,SSL,,Attribute based Access Control,Security,1,Contact me if you need details.,
,SSL2,Shamik Sural,,,Machine Learning for solving scientific problems,Machine Learning,1,Please contact Praveen Mitikiri of second year for details,
,SSL3,Shamik Sural,,,Online Social Network Privacy,Security and Privacy,1,"With increased sharing of data on OSNs and their overly complex policy settings, it is becoming a major source of privacy breach. We will look into various aspects of privacy for OSNs.",
,SSL4,Shamik Sural,,,Medical Data Analytics from OSNs,"OSNs, Machine Learning, Health informatics",1,"Non-communicable diseases are increasingly becoming more important heath concerns as compared to communicable diseases. Early detection, knowledge sharing and trend analysis are important components of handling them. We will work on various aspects of this problem.  ",
27,SCR1,Somindu Chaya Ramanna,SCR,,Implementation of inner-product encryption,Cryptography,3,---,
,SCR2,Somindu Chaya Ramanna,,,Lattice reduction,Cryptography,3,---,
28,SKG1,Soumya K Ghosh,SKG,,Docker containers for the deployment of geospatial services,"Web services, Cloud",2,"A container is a very light solution, allowing for multiple containers to co-exist in the same server (or in multiple servers) with low resource consumption and high reliability.  This project will involve development of docker containers for deployment of geospatial web services.",
,SKG2,Soumya K Ghosh,,,Educational Data Mining,Data Mining,1,"Educational Data Mining (EDM) involves application of data mining, machine learning and statistics to information generated from educational data. This project aims to develop methods for exploring the educational data, which often has multiple levels of meaningful hierarchy, in order to discover new insights about the students' future learning behavior, effect on teaching etc.",
,SKG3,Soumya K Ghosh,,,Blockchain in Geospatial Applications,"Distributed database, Network",1,"A blockchain is an immutable trustless registry of entries, hosted on an open distributed network of computers (called nodes). It is potentially safer and cheaper than traditional centralized databases, is resilient to attacks, enhances transparency and accountability and puts people in control of their own data. Geospatial data are often collected and stored by diverse organizations in different repositories. Interoperability between this diverse set of spatio-temporal data is a major challenge. This project aims at developing a blockchain framework for geospatial applications.",
29,SD1,Soumyajit Dey,SD,,Compiler Pass for Program Range Analysis,Compilers and Program Security,1,Implement compiler pass for Program Range Analysis. This will be used to check buffer overflow based attacks on programs.,
,SD2,Soumyajit Dey,,, Compiler pass for OpenCL program feature extraction,Compiler pass for GPU programs,1,"Implement compiler pass for GPU programs. Using such static analysis pass, we shall churn out useful information about programs to be used in better runtime scheduling. ",
,SD3,Soumyajit Dey,,,Using DNNs in safety critical systems,Formal Methods,1,"DNN based controllers shall be used in future cars. However, it is necessary to check whether DNNs are useful for preventing unsafe driving dynamics ( Recall Tesla car crash in automated driving mode!). Similarly, how do we reason whether a given DNN based software system can be safely adapted inside a safety critical system (e.g. in a Insulin Infusion pump) ",
,SD4,Soumyajit Dey,,,Energy Aware Building Automation,Building Automation ,2,"Building loads consume 40% of all the power generated worldwide. In smart buildings, two of the most significant loads are - HVAC systems and Electric vehicle charging. In future community micro-grids shall be used for supplying power to a network of building loads, and  EV charging networks. This makes the problem of energy-aware scheduling of building loads something very important.  Our plan can be as follows.
1. Model a building load using a simulation tool.
2. Model a smart micro-grid with renewable and non-renewable power sources.
3. Propose novel energy scheduling algorithms for intelligent building loads (HVAC, lights, fans etc, door control, EV charging  etc). ",
30,SB1,Sourangshu Bhattacharya,SB,,Traffic analysis with Deep learning on Networks,"Machine Learning, Transportation",2,We model and predict travel times and traffic in city road networks using deep learning models.,
,SB2,Sourangshu Bhattacharya,,,Network representation learning in NLP,"Deep learning, NLP",2,We address problems of Information Extraction and Question Answering using deep learning.,
,SB3,Sourangshu Bhattacharya,,,Scalable Machine Learning,"Machine Learning theory, Optimization",1,We design provable and faster methods for scalable machine learning,
,SB4,Sourangshu Bhattacharya,,,Emotion and Structure in Music,We predict emotion in music.,1,,
31,SPP1,Sudebkumar Prasant Pal,SPP,,Exact geometric computation for computational geometric applications,Exact geometric computing and computational geometry,1,"
We live in a world of geometry and coordinates, where many accuracy issues arise in various applications required for acquiring and processing geometric data. In environments where highly intensive and fast computations are required for decision-making, we also require, in addition, uncompromized accuracy and precision for deriving correct conclusions. Therefore we need to do exact computations of geometric predicates for correct decision making. We study such techniques and principles for the design of methods and systems for geometric computations.  

See project area details for this project; the work involves studying the theory and then working out illustrations of prototypes for  exact geometric computations using the CGAL framework. Programming in C++ with CGAL package is necessary. Some ongoing/previous work can be guidelines for such systems of implementations. Large and scalable examples will be considered that are easily supported using CGAL.",
,SPP2,Sudebkumar Prasant Pal,,,Data security and privacy issues in cloud computing,"Cloud computing frameworks, data security in networks and clouds, secure data sharing",1,"Not only is data to be secured for each single user but data needs to be also shared between groups of users in such a way that unauthorized parties cannot get access to data. We study methods for the design and prototype implementation/testing of such systems. For certain aspects, may work or proving security guarantees. I propose to have Prof. Sandip Chakrabarty as co-supervisor for this project.",
,SPP3,Sudebkumar Prasant Pal,,,Approximation and online algorithms for facility location and related optimization problems,"Linear programming duality techniques, primal-dual methods, approximation and online algorithms design and implementation",1,Linear programming theory is used to design algorithms that actually do not require a linear programming software or solver, such designs automatically support approximation bounds due to lower bounding by the dual program formulation for the primal problem being solved for the actual integer linear program. The design and implementation for algorithms in useful and fundamentally important problems of combinatorial optimization such as facility location and related issues will be considered.
32,SS1,Sudeshna Sarkar,SS,,Machine Translation of Low resource languages,"NLP, Deep Neural networks",1,In the last 1 year there have been exciting developments in MT without labeled data and in zero shot MT. We wish to explore such methods for MT involving Indian languages.,
,SS2,Sudeshna Sarkar,,,Reinforcement learning,Machine Learning,1,To explore reinforcement learning/ multiagent RL in robosoccer related problems,
,SS3,Sudeshna Sarkar,,,AI solutions in Retail,"Artificial Intelligence, Machine Learning",2,"o explore AI techniques for some task in retail domain. Some examples of task are as sales forecasting, anomaly detection, reviews analysis, chatbots, recommendation.",
,SS4,Sudeshna Sarkar,,,Scalable IR,Information Retrieval,1,The project will focus on efficient IR and ranking issues.,
,SS5,Sudeshna Sarkar,,,Multilingual IR,Information Retrieval,1,To build systems that do multilingual information retrieval based on vector representation of words and documents.,
,SS6,Sudeshna Sarkar,,,Deep Learning,Machine Learning,1,To explore some deep learning architecture with respect to one of the application domains of interest.,
33,SM1,Sudip Misra,SM,,Drone Networks,TBA,2,TBA,
,SM2,Sudip Misra,,,IoT interoperability,TBA,1,TBA,
